2015-01-16T09:10:18.521+0800: 68373.237: [GC [PSYoungGen: 552826K->92558K(573952K)] 2488758K->2029215K(3987456K), 0.0679890 secs] [Times: user=0.54 sys=0.00, real=0.07 secs] 
2015-01-16T09:13:28.868+0800: 68563.584: [GC [PSYoungGen: 556942K->95097K(573440K)] 2493599K->2032458K(3986944K), 0.0719670 secs] [Times: user=0.56 sys=0.00, real=0.07 secs] 
2015-01-16T09:15:39.172+0800: 68693.888: [GC [PSYoungGen: 559481K->106138K(569856K)] 2496842K->2044605K(3983360K), 0.0680230 secs] [Times: user=0.56 sys=0.00, real=0.06 secs] 
2015-01-16T09:17:52.455+0800: 68827.171: [GC [PSYoungGen: 567962K->82695K(544768K)] 2506429K->2023220K(3958272K), 0.0683720 secs] [Times: user=0.41 sys=0.29, real=0.07 secs] 
2015-01-16T09:20:17.471+0800: 68972.187: [GC [PSYoungGen: 544519K->94410K(572928K)] 2485044K->2036986K(3986432K), 0.0718230 secs] [Times: user=0.55 sys=0.01, real=0.07 secs] 
2015-01-16T09:23:14.343+0800: 69149.059: [GC [PSYoungGen: 555722K->95156K(571392K)] 2498298K->2038862K(3984896K), 0.0661670 secs] [Times: user=0.56 sys=0.00, real=0.07 secs] 
2015-01-16T09:26:58.523+0800: 69373.238: [GC [PSYoungGen: 556468K->93380K(575488K)] 2500174K->2037781K(3988992K), 0.0718010 secs] [Times: user=0.56 sys=0.00, real=0.07 secs] 
2015-01-16T09:30:04.842+0800: 69559.558: [GC [PSYoungGen: 560324K->101557K(568832K)] 2504725K->2048074K(3982336K), 0.1102320 secs] [Times: user=0.44 sys=0.06, real=0.11 secs] 
2015-01-16T09:32:44.206+0800: 69718.922: [GC [PSYoungGen: 568501K->98287K(574464K)] 2515018K->2045472K(3987968K), 0.0882860 secs] [Times: user=0.43 sys=0.14, real=0.09 secs] 
2015-01-16T09:36:25.531+0800: 69940.247: [GC [PSYoungGen: 563695K->83413K(548864K)] 2510880K->2031259K(3962368K), 0.0575860 secs] [Times: user=0.46 sys=0.00, real=0.05 secs] 
2015-01-16T09:39:33.060+0800: 70127.775: [GC [PSYoungGen: 548821K->99895K(572416K)] 2496667K->2048873K(3985920K), 0.0707240 secs] [Times: user=0.57 sys=0.00, real=0.08 secs] 
2015-01-16T09:42:37.732+0800: 70312.447: [GC [PSYoungGen: 562743K->95768K(572928K)] 2511721K->2045397K(3986432K), 0.0577220 secs] [Times: user=0.42 sys=0.00, real=0.06 secs] 
2015-01-16T09:44:51.108+0800: 70445.824: [GC [PSYoungGen: 558616K->90124K(574976K)] 2508245K->2041177K(3988480K), 0.0635210 secs] [Times: user=0.54 sys=0.00, real=0.07 secs] 
2015-01-16T09:48:04.455+0800: 70639.171: [GC [PSYoungGen: 556556K->97767K(574464K)] 2507609K->2049544K(3987968K), 0.0614580 secs] [Times: user=0.42 sys=0.00, real=0.06 secs] 
2015-01-16T09:51:55.599+0800: 70870.315: [GC [PSYoungGen: 564199K->98378K(574976K)] 2515976K->2051204K(3988480K), 0.0664340 secs] [Times: user=0.56 sys=0.00, real=0.07 secs] 
2015-01-16T09:54:27.216+0800: 71021.931: [GC [PSYoungGen: 565322K->93707K(574976K)] 2518148K->2055655K(3988480K), 0.0563090 secs] [Times: user=0.41 sys=0.00, real=0.06 secs] 
2015-01-16T09:57:32.017+0800: 71206.733: [GC [PSYoungGen: 560651K->93399K(577024K)] 2522599K->2055997K(3990528K), 0.0690270 secs] [Times: user=0.42 sys=0.21, real=0.07 secs] 
2015-01-16T10:00:49.418+0800: 71404.134: [GC [PSYoungGen: 563415K->92478K(576000K)] 2526013K->2055771K(3989504K), 0.0682910 secs] [Times: user=0.50 sys=0.03, real=0.07 secs] 
2015-01-16T10:02:54.724+0800: 71529.439: [GC [PSYoungGen: 562494K->99868K(575488K)] 2525787K->2064156K(3988992K), 0.0651470 secs] [Times: user=0.46 sys=0.00, real=0.06 secs] 
2015-01-16T10:05:13.647+0800: 71668.363: [GC [PSYoungGen: 569884K->96171K(576512K)] 2534172K->2061019K(3990016K), 0.0672770 secs] [Times: user=0.56 sys=0.00, real=0.07 secs] 
2015-01-16T10:08:57.618+0800: 71892.334: [GC [PSYoungGen: 566187K->86243K(576512K)] 2531035K->2051766K(3990016K), 0.1013560 secs] [Times: user=0.51 sys=0.08, real=0.10 secs] 
2015-01-16T10:11:55.433+0800: 72070.148: [GC [PSYoungGen: 557283K->92263K(577024K)] 2522806K->2058327K(3990528K), 0.0822340 secs] [Times: user=0.44 sys=0.01, real=0.08 secs] 
